agent_key,agent_name,agent_role,agent_framework,agent_purpose,system_name,domain,vendor_name,vendor_type,vendor_jurisdiction,llm_name,llm_capability_tier,llm_context_window,owner_user_id,owner_role_key,risk_tier,approval_status,primary_control_framework,primary_control_id,deployed_at,decommissioned_at,notes
stock.context_extractor,stock-user-context,extractor,custom,Extract user preferences + profile signals from chat for personalisation,Stock Chat Platform,stock,google,commercial,US,gemini-2.5-flash-lite,small,1000000,donny@datap.ai,cto,medium,approved,AU_6_2025,P4,2026-04-02,,PII-processing; user-context layer 8 in system prompt
health.signals.cross_validation,health-signals-cross-validation,cross-validator,custom,Cross-validate healthcare claim across multiple source types,Healthcare Signals,health,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,high,approved,AU_6_2025,P5,2026-03-30,,Healthcare reasoning — validator safeguard
health.signals.regulatory_tone,health-signals-regulatory-tone,sentiment,custom,Score regulator-facing tone of drug / device communications,Healthcare Signals,health,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,medium,approved,AU_6_2025,P2,2026-03-30,,
health.signals.policy_change,health-signals-policy-change,change-detector,custom,Detect healthcare policy changes from regulator publications,Healthcare Signals,health,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,medium,approved,AU_6_2025,P2,2026-03-30,,
health.signals.drug_approval,health-signals-drug-approval,tracker,custom,Track drug approval workflows across TGA / FDA / EMA,Healthcare Signals,health,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,medium,approved,AU_6_2025,P2,2026-03-30,,Sensitive to therapeutic-goods compliance
health.signals.regulatory_change,health-signals-regulatory-change,change-detector,custom,Detect regulatory text changes in healthcare domain,Healthcare Signals,health,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,medium,approved,AU_6_2025,P2,2026-03-30,,
health.signals.safety_data,health-signals-safety-data,safety-monitor,custom,Monitor post-market drug-safety signals,Healthcare Signals,health,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,high,approved,AU_6_2025,P5,2026-03-30,,Safety-critical; requires testing + monitoring (P5)
health.signals.investigation,health-signals-investigation,investigator,custom,Investigate anomalies flagged by other health signals,Healthcare Signals,health,google,commercial,US,gemini-2.5-pro,frontier,1000000,donny@datap.ai,cto,high,approved,AU_6_2025,P6,2026-03-30,,Human-oversight-sensitive (P6); escalation path required
health.signals.trial_progress,health-signals-trial-progress,tracker,custom,Track clinical-trial progress + enrolment milestones,Healthcare Signals,health,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,medium,approved,AU_6_2025,P2,2026-03-30,,
health.phi_detector,health-phi-detector,phi-detector,custom,Detect PHI (Medicare IHI MRN) in documents pre-AI routing,Clinical Document Platform,health,self-hosted,self-hosted,AU,regex+llm-hybrid,small,0,donny@datap.ai,cto,high,approved,AU_6_2025,P5,2026-02-15,,Runs before any LLM — Safe Harbour pre-processing
health.clinical_summarizer,health-clinical-summarizer,summariser,custom,Summarise clinical notes post-PHI-de-identification,Clinical Document Platform,health,anthropic,commercial,US,claude-sonnet-4-6,frontier,200000,donny@datap.ai,cto,high,approved,AU_6_2025,P5,2026-03-05,,Healthcare decision support (not diagnostic); disclaimer required
platform.rag_query,platform-rag-query-agent,retriever,custom,LanceDB-backed RAG retrieval over governed knowledge sources,Platform Core,platform,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,low,approved,AU_6_2025,P4,2026-02-01,,Generic cross-vertical
platform.rag_ingest,platform-rag-ingest-agent,ingestor,custom,Ingest PDFs / CSVs / text into LanceDB with classification,Platform Core,platform,google,commercial,US,gemini-2.5-flash-lite,small,1000000,donny@datap.ai,cto,medium,approved,AU_6_2025,P4,2026-02-01,,Auto-classifies sensitivity via guardrail layer
platform.text2sql,platform-text2sql-agent,sql-generator,custom,Natural-language-to-SQL via Vanna + policy catalog,Platform Core,platform,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,medium,approved,AU_6_2025,P5,2026-02-15,,Queries gated by guardrail AI access levels
platform.dbt_guardrail,platform-dbt-guardrail-agent,guardrail,custom,Enforce AI access policy on dbt asset reads / summaries / tool calls,Platform Guardrail Framework,platform,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,low,approved,AU_6_2025,P6,2026-02-10,,Human-in-the-loop enforcement layer
platform.file_ingest,platform-file-ingest-agent,ingestor,custom,Generic file ingestion with classification + staging,Platform Core,platform,google,commercial,US,gemini-2.5-flash-lite,small,1000000,donny@datap.ai,cto,low,approved,AU_6_2025,P4,2026-02-01,,
platform.learning,platform-learning-agent,reflector,custom,Post-trade reflection → BM25 memory → compound learning,Platform Agent Memory,platform,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,low,approved,AU_6_2025,P5,2026-03-25,,Reads agent_runs; writes sys_agent_memory
